"STATE","OfferNonEnglish","SpecificGroupAdolescent","SpecificGroupWomen","SpecificGroupPregnant","SpecificGroupMen","SpecificGroupSeniors","SpecificGroupLGBT","SpecificGroupVeterans","SpecificGroupMentalIllness","SpecificGroupTrauma","SlidingFeeScale","OffersFreeTreatment","AcceptsMedicare","AcceptsMedicaid","AcceptsStateInsurance","AcceptsMilitaryInsurance","AcceptsPrivateInsurance","LicensedByAuthority","PrivateForProfit","PrivateNonProfit","StateGovt","DUIProgram","OfferSignLanguage","AnyPublicFunding"
"OK",0.470588235294118,0.32512315270936,0.54679802955665,0.251231527093596,0.522167487684729,0.211822660098522,0.231527093596059,0.251231527093596,0.522167487684729,0.492610837438424,0.482758620689655,0.676470588235294,0.25615763546798,0.717821782178218,0.428571428571429,0.314720812182741,0.514851485148515,0.852040816326531,0.240196078431373,0.504901960784314,0.053921568627451,0.230392156862745,0.387254901960784,0.596938775510204
"OR",0.587443946188341,0.340807174887892,0.591928251121076,0.183856502242152,0.556053811659193,0.147982062780269,0.147982062780269,0.170403587443946,0.515695067264574,0.493273542600897,0.755656108597285,0.542986425339366,0.350710900473934,0.833333333333333,0.649532710280374,0.439613526570048,0.91324200913242,0.986175115207373,0.309417040358744,0.524663677130045,0.0134529147982063,0.527027027027027,0.426008968609865,0.550925925925926
"PA",0.348484848484849,0.23384030418251,0.503802281368821,0.228136882129278,0.458174904942966,0.192015209125475,0.197718631178707,0.184410646387833,0.482889733840304,0.374524714828897,0.440839694656489,0.364503816793893,0.267190569744597,0.808510638297872,0.523908523908524,0.209302325581395,0.694552529182879,0.969111969111969,0.395833333333333,0.583333333333333,0.00189393939393939,0.210227272727273,0.223484848484848,0.51129363449692
"PR",0.836879432624113,0.120567375886525,0.283687943262411,0.148936170212766,0.48936170212766,0.425531914893617,0.304964539007092,0.326241134751773,0.375886524822695,0.340425531914894,0.143884892086331,0.798561151079137,0.165467625899281,0.145985401459854,0.233576642335766,0.160583941605839,0.244604316546763,0.97841726618705,0.184397163120567,0.680851063829787,0.120567375886525,0.0851063829787234,0.141843971631206,0.701492537313433
"PW",1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,0,1,0,1
"RI",0.653846153846154,0.134615384615385,0.653846153846154,0.288461538461538,0.596153846153846,0.307692307692308,0.173076923076923,0.25,0.653846153846154,0.307692307692308,0.384615384615385,0.269230769230769,0.442307692307692,0.807692307692308,0.823529411764706,0.510204081632653,0.903846153846154,1,0.288461538461538,0.673076923076923,0,0.25,0.25,0.543478260869565
"SC",0.640350877192982,0.429824561403509,0.508771929824561,0.315789473684211,0.456140350877193,0.140350877192982,0.087719298245614,0.131578947368421,0.37719298245614,0.342105263157895,0.424778761061947,0.592920353982301,0.234234234234234,0.675675675675676,0.504761904761905,0.367924528301887,0.681818181818182,0.91588785046729,0.263157894736842,0.333333333333333,0.149122807017544,0.456140350877193,0.526315789473684,0.559633027522936
"SD",0.435483870967742,0.409836065573771,0.409836065573771,0.19672131147541,0.409836065573771,0.180327868852459,0.163934426229508,0.229508196721311,0.573770491803279,0.360655737704918,0.564516129032258,0.67741935483871,0.3,0.655737704918033,0.525423728813559,0.483333333333333,0.725806451612903,0.901639344262295,0.161290322580645,0.532258064516129,0.032258064516129,0.483870967741935,0.387096774193548,0.786885245901639
"TN",0.60352422907489,0.207964601769911,0.31858407079646,0.154867256637168,0.287610619469027,0.13716814159292,0.101769911504425,0.128318584070796,0.513274336283186,0.252212389380531,0.584070796460177,0.455357142857143,0.434389140271493,0.608108108108108,0.606481481481482,0.410138248847926,0.716216216216216,0.954545454545455,0.312775330396476,0.66079295154185,0.00440528634361234,0.162995594713656,0.488986784140969,0.642533936651584
"TX",0.565573770491803,0.280737704918033,0.422131147540984,0.192622950819672,0.405737704918033,0.17827868852459,0.176229508196721,0.194672131147541,0.383196721311475,0.266393442622951,0.476288659793814,0.460743801652893,0.18816067653277,0.571428571428571,0.393939393939394,0.253796095444685,0.643006263048017,0.947257383966245,0.454918032786885,0.434426229508197,0.0163934426229508,0.108606557377049,0.35655737704918,0.516877637130802
"UT",0.446808510638298,0.314893617021277,0.519148936170213,0.191489361702128,0.497872340425532,0.212765957446809,0.234042553191489,0.242553191489362,0.565957446808511,0.557446808510638,0.534188034188034,0.257510729613734,0.350877192982456,0.495575221238938,0.444954128440367,0.557603686635945,0.868995633187773,0.91324200913242,0.617021276595745,0.25531914893617,0.00851063829787234,0.431623931623932,0.246808510638298,0.355555555555556
"VA",0.449781659388646,0.25764192139738,0.454148471615721,0.266375545851528,0.410480349344978,0.0873362445414847,0.0960698689956332,0.135371179039301,0.454148471615721,0.283842794759825,0.572687224669604,0.349557522123894,0.511210762331839,0.602678571428571,0.429245283018868,0.59047619047619,0.746666666666667,0.899082568807339,0.301310043668122,0.213973799126638,0.0262008733624454,0.192139737991266,0.414847161572052,0.611111111111111
"VI",0.666666666666667,0.333333333333333,0.666666666666667,0.333333333333333,0.666666666666667,0.333333333333333,0,0,0.666666666666667,0.666666666666667,1,1,0.666666666666667,0.666666666666667,0,0.666666666666667,0.666666666666667,0.666666666666667,0,0.333333333333333,0.666666666666667,0.666666666666667,0,1
"VT",0.565217391304348,0.282608695652174,0.5,0.347826086956522,0.434782608695652,0.195652173913043,0.0652173913043478,0.130434782608696,0.5,0.543478260869565,0.673913043478261,0.608695652173913,0.608695652173913,0.91304347826087,0.869565217391304,0.590909090909091,0.869565217391304,0.954545454545455,0.108695652173913,0.847826086956522,0,0.260869565217391,0.630434782608696,0.844444444444444
"WA",0.441588785046729,0.275700934579439,0.404205607476636,0.161214953271028,0.352803738317757,0.130841121495327,0.114485981308411,0.119158878504673,0.322429906542056,0.235981308411215,0.555294117647059,0.379716981132075,0.21654501216545,0.650602409638554,0.5425,0.263427109974425,0.8274231678487,0.990476190476191,0.404205607476636,0.427570093457944,0.00934579439252336,0.308411214953271,0.380841121495327,0.493857493857494
"WI",0.482142857142857,0.21505376344086,0.376344086021505,0.125448028673835,0.333333333333333,0.154121863799283,0.136200716845878,0.154121863799283,0.354838709677419,0.308243727598566,0.469314079422383,0.323741007194245,0.596363636363636,0.839416058394161,0.654618473895582,0.633858267716535,0.916666666666667,0.926739926739927,0.353571428571429,0.432142857142857,0.00357142857142857,0.314285714285714,0.439285714285714,0.525925925925926
"WV",0.245283018867925,0.169811320754717,0.330188679245283,0.19811320754717,0.339622641509434,0.160377358490566,0.19811320754717,0.179245283018868,0.339622641509434,0.264150943396226,0.462264150943396,0.707547169811321,0.596153846153846,0.80952380952381,0.73,0.695652173913043,0.826923076923077,0.895833333333333,0.169811320754717,0.764150943396226,0.0188679245283019,0.292452830188679,0.39622641509434,0.68
"WY",0.620689655172414,0.413793103448276,0.517241379310345,0.241379310344828,0.551724137931034,0.206896551724138,0.120689655172414,0.224137931034483,0.603448275862069,0.5,0.827586206896552,0.724137931034483,0.620689655172414,0.879310344827586,0.830188679245283,0.849056603773585,0.96551724137931,0.964912280701754,0.155172413793103,0.620689655172414,0,0.448275862068966,0.396551724137931,0.793103448275862
