# Visitor arrivals by country of residence all travel mode (Monthly) -- Source Statistics New Zealand --  See metadata at bottom of table,,,,,,,,,,,
# Added GBPound to NZ Dollar Exchange Rate in Col. 10 plus Year &  Month,,,,,,,,,,,
Time,Australia,China PR,Japan,Rep Korea,Germany,UK,Canada,USA,GBP.to.NZD,Year,Month
2007M03,85698,8878,13179,9752,6095,33833,5520,24012,2.787301613,2007,3
2007M04,78108,10925,8142,8602,2990,19849,3151,17710,2.711525533,2007,4
2007M05,57924,7686,6354,6228,1728,11268,1926,11592,2.707283548,2007,5
2007M06,63669,6650,7353,7334,1577,9576,1634,14402,2.627944667,2007,6
2007M07,76152,7728,8928,8904,3048,13512,2496,13824,2.587686774,2007,7
2007M08,78188,9020,9878,5742,2552,12672,2046,10626,2.765638903,2007,8
2007M09,84525,8234,8326,6601,2921,11178,1909,10327,2.814313833,2007,9
2007M10,71691,9568,7912,7084,4646,18400,3312,16307,2.689413258,2007,10
2007M11,75816,13896,15096,8784,7704,26616,5496,21552,2.718047733,2007,11
2007M12,125766,13716,10908,7884,8559,41040,6561,23841,2.626369452,2007,12
2008M01,80881,10817,10121,10846,8613,42398,7859,25984,2.549197355,2008,1
2008M02,85376,15433,11546,7084,10120,50025,9085,31142,2.471351207,2008,2
2008M03,92375,10650,11925,6750,6500,36675,6400,25450,2.49612271,2008,3
2008M04,73704,11352,7200,6984,2784,17760,3024,14184,2.5090919,2008,4
2008M05,58240,8360,6060,6200,1740,11000,2240,10640,2.530684161,2008,5
2008M06,64904,5054,7030,6042,1691,9785,1577,12616,2.5819591,2008,6
2008M07,77400,6816,8760,8184,3024,13176,2928,14184,2.63402871,2008,7
2008M08,79178,6446,9108,6336,2398,11792,2134,10010,2.666001032,2008,8
2008M09,82317,5497,6486,4577,3105,10580,2139,9131,2.663909767,2008,9
2008M10,71760,6552,6720,5880,5112,17976,3480,14280,2.772915581,2008,10
2008M11,77198,11462,8184,4994,7898,24750,5786,21164,2.7164403,2008,11
2008M12,132867,13959,9342,5184,9315,39177,6615,23625,2.664023258,2008,12
2009M01,82684,14252,7532,6300,9128,37968,6692,20916,2.61907,2009,1
2009M02,87538,12075,9890,5060,9545,42481,7498,25553,2.792281107,2009,2
2009M03,88080,11640,10512,5472,6168,27288,5520,20352,2.678732516,2009,3
2009M04,90508,10670,6072,3806,3652,17930,3212,14388,2.566400833,2009,4
2009M05,67446,5616,3528,2826,1944,10602,2160,10836,2.568638194,2009,5
2009M06,70884,2556,2340,3114,1548,8658,1782,12348,2.561959967,2009,6
2009M07,93173,4140,3726,5152,3450,11914,2599,13478,2.546604903,2009,7
2009M08,88347,4578,5586,4200,2583,10353,2247,10752,2.450045323,2009,8
2009M09,94962,6342,6258,3045,3255,10542,2058,10038,2.323778867,2009,9
2009M10,87676,7636,6072,3933,5313,16629,3243,13984,2.194071323,2009,10
2009M11,84502,11063,8027,4370,8096,24518,4922,18768,2.2772291,2009,11
2009M12,146880,11691,8883,5643,9882,39555,6723,26379,2.268022323,2009,12
2010M01,95700,9425,8700,8178,10092,37758,6989,20967,2.225024774,2010,1
2010M02,91275,16975,9975,5275,9650,40475,7250,25300,2.24151975,2010,2
2010M03,105534,9828,10452,7852,6552,26442,5512,19214,2.142720129,2010,3
2010M04,90888,10272,5328,5136,2808,14184,3192,12288,2.1552346,2010,4
2010M05,64300,7740,5340,4300,1820,9040,2260,11520,2.100733968,2010,5
2010M06,76200,5500,5240,4160,1520,7520,1620,11320,2.128747667,2010,6
2010M07,94776,8040,6480,5952,3432,9552,2496,11712,2.145719419,2010,7
2010M08,87956,9746,7876,4708,2596,8778,2178,11044,2.189847258,2010,8
2010M09,96074,7480,5500,4290,3344,8580,2112,9658,2.140870167,2010,9
2010M10,81200,8650,6175,5425,5500,14850,3700,13350,2.112774839,2010,10
2010M11,84625,14875,8375,6175,8025,21175,5050,19150,2.066277833,2010,11
2010M12,151351,14181,8294,5858,9309,35960,6583,24186,2.078814871,2010,12
2011M01,97440,14550,9570,8700,10140,34290,7290,20790,2.056955581,2011,1
2011M02,93600,18000,10425,5475,9875,36350,7500,25500,2.1145935,2011,2
2011M03,93630,10530,6780,4860,5940,19620,5160,19440,2.181629065,2011,3
2011M04,99000,10296,2544,2640,3456,17088,2880,12840,2.0757155,2011,4
2011M05,66720,8560,2440,2860,1900,7720,2120,10260,2.052127226,2011,5
2011M06,64820,6740,4100,2780,1720,6080,1340,10220,1.9905362,2011,6
2011M07,91664,9696,4368,4928,3184,8416,2336,10224,1.909312677,2011,7
2011M08,92752,11504,6544,3728,2816,9136,1968,8848,1.956366032,2011,8
2011M09,105792,8048,4784,2672,3168,19456,3696,10464,1.938892207,2011,9
2011M10,98448,10624,3728,3600,5024,17648,3552,13600,1.9966237,2011,10
2011M11,91056,18560,5840,4528,7488,20000,4704,17856,2.0529327,2011,11
2011M12,161504,18416,7840,6016,9008,34512,6608,24672,2.0243254,2011,12
2012M01,98976,23344,6544,7648,9616,29872,6768,20848,1.945787655,2012,1
2012M02,95568,15280,8112,5696,9840,32160,7696,24688,1.894671357,2012,2
2012M03,102016,19200,8208,5456,6272,20064,5488,19536,1.926430419,2012,3
2012M04,92160,18192,4416,3648,3072,11152,3056,12448,1.952183778,2012,4
2012M05,64688,12928,2992,3024,1792,6304,1888,9568,2.056024586,2012,5
2012M06,80672,9696,3696,2896,1712,5728,1536,10064,1.996676481,2012,6
2012M07,92000,12112,6048,4240,2800,6784,2048,9744,1.951932517,2012,7
2012M08,95552,14368,7856,3040,2544,6720,1824,8368,1.937398222,2012,8
2012M09,99744,14048,3744,2848,3376,7440,2000,8720,1.967521857,2012,9
2012M10,81712,15344,4480,4048,5456,12800,3456,12560,1.961831226,2012,10
2012M11,93328,21824,6032,4672,7168,17824,4288,16640,1.9487735,2012,11
2012M12,159376,20688,9952,5680,10128,32800,6400,24496,1.943770742,2012,12
2013M01,101136,18768,7120,7536,9200,27504,6672,24304,1.91196771,2013,1
2013M02,95424,31536,9520,4080,10272,31184,7840,26896,1.847684857,2013,2
2013M03,114944,20736,9616,5200,7280,23232,6064,24224,1.820651933,2013,3
2013M04,92928,24784,4496,3808,3248,10720,2768,12432,1.807287033,2013,4
2013M05,72640,16832,3248,2656,1920,6320,2032,10144,1.853058452,2013,5
2013M06,85072,11680,2848,2896,1648,5680,1568,10928,1.955906107,2013,6
2013M07,97152,15168,5312,3808,3040,8256,1840,10864,1.927018613,2013,7
2013M08,100064,17776,7312,2912,2784,7440,1904,8832,1.955262806,2013,8
2013M09,101936,21200,4384,3504,3952,7120,2128,9152,1.9509903,2013,9
2013M10,89648,13568,4896,4224,6048,12096,3136,13248,1.927531935,2013,10
2013M11,100304,18384,6368,4832,8864,18464,5472,21360,1.95006,2013,11
2013M12,166768,18496,9440,5536,11552,33616,6768,29040,1.992515258,2013,12
2014M01,109568,30128,6912,8080,11088,30560,6688,23504,1.99060729,2014,1
2014M02,105552,28496,9472,5376,12336,32880,8000,31632,1.999845536,2014,2
2014M03,99520,23200,8656,5312,7744,18720,5872,26528,1.952084161,2014,3
2014M04,107696,24448,4192,3696,4560,13136,2880,14048,1.943945867,2014,4
2014M05,72880,17040,4528,3184,2336,6432,2080,12048,1.957106935,2014,5
2014M06,84720,12592,4048,2608,1504,5664,1664,11456,1.961360967,2014,6
#,Table information:,,,,,,,,,,
#,Units:,,,,,,,,,,
#,"Number, Magnitude = Units",,,,,,,,,,
#,,,,,,,,,,,
#,Footnotes:,,,,,,,,,,
#,Visitor arrivals are overseas residents arriving in New Zealand for a stay of less than 12 months.,,,,,,,,,,
#,"For arrival series, the country of residence is the country where a person arriving in New Zealand last lived for 12 months or more (country of last permanent residence).",,,,,,,,,,
#,The United Kingdom also includes the Channel Islands and the Isle of Man.,,,,,,,,,,
#,Cruise passengers have only been collected separately since September 1997.,,,,,,,,,,
